source1,dep1,source2,dep2,clique_size,med_dist_euc,input_overlap
1_L,1,1_L,1,6,1.8189,0.218
1_L,1,1_L,1,6,1.41041,0.2
1_L,1,1_L,1,6,1.80102,0.102
1_L,1,1_L,1,8,1.08331,0.258
1_L,1,1_L,1,5,1.93781,0.008
1_L,1,1_L,1,12,0.91193,0.4
103_L,103,103_L,103,9,1.11631,0.42
103_L,103,103_L,103,6,1.32526,0.372
103_L,103,103_L,103,5,1.55036,0.186
103_L,103,103_L,103,10,0.89472,0.472
103_L,103,103_L,103,5,1.29865,0.006
103_L,103,103_L,103,6,0.88348,0.16
11_L,11,11_L,11,10,1.11319,0.426
11_L,11,11_L,11,6,1.64349,0.198
11_L,11,11_L,11,7,1.09217,0.252
11_L,11,11_L,11,5,2.06277,0.052
11_L,11,11_L,11,6,1.52089,0.256
11_L,11,11_L,11,12,1.26239,0.5
116_L,116,116_L,116,6,1.2516,0.296
116_L,116,116_L,116,7,1.44313,0.386
116_L,116,116_L,116,7,1.06485,0.348
116_L,116,116_L,116,14,1.28925,0.506
116_L,116,116_L,116,14,1.06887,0.45
116_L,116,116_L,116,12,0.7076,0.58
117_L,117,117_L,117,10,0.7615,0.45
117_L,117,117_L,117,6,1.80357,0.234
117_L,117,117_L,117,6,1.17779,0.168
117_L,117,117_L,117,12,0.87236,0.458
117_L,117,117_L,117,9,1.52067,0.258
117_L,117,117_L,117,8,0.7554,0.236
125_L,125,125_L,125,7,0.63216,0.11
125_L,125,125_L,125,6,1.4043,0.116
125_L,125,125_L,125,6,0.9434,0.274
125_L,125,125_L,125,7,0.9412,0.2
125_L,125,125_L,125,11,0.9373,0.448
125_L,125,125_L,125,7,1.11903,0.32
128_L,128,128_L,128,10,0.60802,0.548
128_L,128,128_L,128,8,1.30476,0.5
128_L,128,128_L,128,8,0.81367,0.272
128_L,128,128_L,128,7,0.87689,0.226
128_L,128,128_L,128,7,1.24764,0.262
128_L,128,128_L,128,11,0.85807,0.466
13_L,13,13_L,13,8,1.19779,0.62
13_L,13,13_L,13,6,1.42339,0.326
13_L,13,13_L,13,10,1.01398,0.312
13_L,13,13_L,13,8,1.07848,0.334
13_L,13,13_L,13,7,0.90103,0.252
13_L,13,13_L,13,11,0.8852,0.506
130_L,130,130_L,130,13,0.87184,0.532
130_L,130,130_L,130,9,1.4795,0.2
130_L,130,130_L,130,6,2.60603,0.016
130_L,130,130_L,130,10,1.52987,0.426
130_L,130,130_L,130,7,1.83758,0.186
130_L,130,130_L,130,8,0.68887,0.34
131_L,131,131_L,131,8,0.88078,0.452
131_L,131,131_L,131,9,0.81583,0.48
131_L,131,131_L,131,6,1.00901,0.406
131_L,131,131_L,131,7,1.4216,0.28
131_L,131,131_L,131,5,1.0436,0.088
131_L,131,131_L,131,12,0.69818,0.584
136_L,136,136_L,136,10,1.04848,0.498
136_L,136,136_L,136,5,1.81258,0.038
136_L,136,136_L,136,5,1.59593,0.204
136_L,136,136_L,136,6,1.58278,0.316
136_L,136,136_L,136,7,1.53207,0.332
136_L,136,136_L,136,6,0.84483,0.29
140_L,140,140_L,140,9,1.41533,0.438
140_L,140,140_L,140,6,1.53794,0.132
140_L,140,140_L,140,8,1.10894,0.374
140_L,140,140_L,140,7,2.26539,0.192
140_L,140,140_L,140,6,1.54935,0.262
140_L,140,140_L,140,7,1.72986,0.136
146_L,146,146_L,146,6,0.68064,0.336
146_L,146,146_L,146,9,0.72614,0.516
146_L,146,146_L,146,5,2.31141,0.012
146_L,146,146_L,146,5,1.57064,0.244
146_L,146,146_L,146,4,2.02518,0.21
146_L,146,146_L,146,7,1.37598,0.216
151_L,151,151_L,151,13,1.03635,0.622
151_L,151,151_L,151,10,0.90586,0.422
151_L,151,151_L,151,12,1.03968,0.4
151_L,151,151_L,151,8,1.47241,0.29
151_L,151,151_L,151,8,0.97094,0.406
151_L,151,151_L,151,8,0.55747,0.292
156_L,156,156_L,156,6,1.00346,0.316
156_L,156,156_L,156,12,1.31781,0.454
156_L,156,156_L,156,10,1.4107,0.256
156_L,156,156_L,156,13,0.68801,0.57
156_L,156,156_L,156,12,1.35524,0.416
2_L,2,2_L,2,8,1.14392,0.354
2_L,2,2_L,2,6,1.92381,0.298
2_L,2,2_L,2,7,1.59026,0.332
2_L,2,2_L,2,9,1.45471,0.222
2_L,2,2_L,2,6,1.45014,0.124
2_L,2,2_L,2,8,1.24844,0.466
27_L,27,27_L,27,6,1.78913,0.238
27_L,27,27_L,27,5,1.33414,0.008
27_L,27,27_L,27,6,1.51001,0.264
27_L,27,27_L,27,12,0.70501,0.324
27_L,27,27_L,27,10,0.95318,0.398
27_L,27,27_L,27,14,0.87231,0.578
29_L,29,29_L,29,6,1.65278,0.254
29_L,29,29_L,29,6,1.14542,0.122
29_L,29,29_L,29,6,0.88167,0.118
29_L,29,29_L,29,4,1.46564,0.006
29_L,29,29_L,29,5,1.79755,0.018
29_L,29,29_L,29,8,1.36673,0.308
40_L,40,40_L,40,7,1.2039,0.084
40_L,40,40_L,40,5,1.62311,0.008
40_L,40,40_L,40,6,1.41225,0.23
40_L,40,40_L,40,5,1.35989,0.018
40_L,40,40_L,40,6,1.15766,0.16
40_L,40,40_L,40,9,1.0875,0.542
41_L,41,41_L,41,6,1.45375,0.136
41_L,41,41_L,41,5,1.36758,0.03
41_L,41,41_L,41,5,1.41818,0.02
41_L,41,41_L,41,6,0.75887,0.112
41_L,41,41_L,41,8,1.04549,0.168
41_L,41,41_L,41,5,2.04851,0.084
47_L,47,47_L,47,7,1.50363,0.16
47_L,47,47_L,47,5,2.00409,0.17
47_L,47,47_L,47,5,1.41659,0.034
47_L,47,47_L,47,5,0.41336,0.008
47_L,47,47_L,47,4,1.81183,0.008
47_L,47,47_L,47,6,1.1174,0.178
51_L,51,51_L,51,9,1.0487,0.282
51_L,51,51_L,51,5,1.23704,0.028
51_L,51,51_L,51,7,0.85701,0.06
51_L,51,51_L,51,5,1.1812,0.318
51_L,51,51_L,51,6,1.17169,0.234
51_L,51,51_L,51,8,1.27901,0.318
52_L,52,52_L,52,6,1.33865,0.288
52_L,52,52_L,52,6,0.94272,0.104
52_L,52,52_L,52,5,1.07455,0.228
52_L,52,52_L,52,6,1.28005,0.024
52_L,52,52_L,52,8,1.26904,0.258
52_L,52,52_L,52,5,1.78868,0.026
56_L,56,56_L,56,11,0.91037,0.55
56_L,56,56_L,56,7,1.33359,0.26
56_L,56,56_L,56,9,0.91006,0.292
56_L,56,56_L,56,7,1.7182,0.278
56_L,56,56_L,56,7,1.16902,0.276
56_L,56,56_L,56,7,1.10382,0.148
60_L,60,60_L,60,7,1.4487,0.248
60_L,60,60_L,60,6,1.17921,0.256
60_L,60,60_L,60,5,2.46994,0.012
60_L,60,60_L,60,8,0.96278,0.354
60_L,60,60_L,60,7,1.42905,0.338
60_L,60,60_L,60,9,1.49918,0.29
62_L,62,62_L,62,9,1.05709,0.45
62_L,62,62_L,62,6,2.1173,0.182
62_L,62,62_L,62,5,0.84472,0.014
62_L,62,62_L,62,8,1.5127,0.268
62_L,62,62_L,62,8,1.3033,0.304
62_L,62,62_L,62,7,1.6512,0.194
63_L,63,63_L,63,12,1.06949,0.518
63_L,63,63_L,63,6,1.19491,0.172
63_L,63,63_L,63,6,1.19491,0.172
63_L,63,63_L,63,5,1.57889,0.076
63_L,63,63_L,63,4,1.54122,0.162
63_L,63,63_L,63,6,1.40171,0.094
69_L,69,69_L,69,7,1.05827,0.398
69_L,69,69_L,69,6,0.82854,0.206
69_L,69,69_L,69,10,1.04549,0.444
69_L,69,69_L,69,8,1.43937,0.22
69_L,69,69_L,69,7,1.53449,0.284
69_L,69,69_L,69,8,1.26815,0.396
75_L,75,75_L,75,7,2.23907,0.158
75_L,75,75_L,75,12,0.79086,0.438
75_L,75,75_L,75,9,1.20174,0.172
75_L,75,75_L,75,6,1.65828,0.286
75_L,75,75_L,75,9,1.23154,0.256
75_L,75,75_L,75,9,1.26679,0.244
77_L,77,77_L,77,7,0.92118,0.424
77_L,77,77_L,77,5,1.23912,0.16
77_L,77,77_L,77,6,1.38418,0.154
77_L,77,77_L,77,7,1.83768,0.332
77_L,77,77_L,77,9,1.08839,0.514
77_L,77,77_L,77,10,0.90136,0.29
85_L,85,85_L,85,6,1.45383,0.274
85_L,85,85_L,85,6,1.38459,0.226
85_L,85,85_L,85,6,1.96524,0.204
85_L,85,85_L,85,7,0.91698,0.368
85_L,85,85_L,85,7,1.81671,0.27
87_L,87,87_L,87,9,1.24803,0.462
87_L,87,87_L,87,6,1.45374,0.35
87_L,87,87_L,87,6,1.78968,0.116
87_L,87,87_L,87,9,1.74556,0.304
87_L,87,87_L,87,6,1.3931,0.186
87_L,87,87_L,87,7,1.24105,0.27
88_L,88,88_L,88,8,1.6992,0.328
88_L,88,88_L,88,6,1.33732,0.226
88_L,88,88_L,88,5,1.85259,0.136
88_L,88,88_L,88,5,1.26249,0.178
88_L,88,88_L,88,5,0.89411,0.056
88_L,88,88_L,88,7,1.33289,0.086
92_L,92,92_L,92,14,0.84208,0.614
92_L,92,92_L,92,7,1.1537,0.336
92_L,92,92_L,92,8,0.968,0.452
92_L,92,92_L,92,9,1.31955,0.384
92_L,92,92_L,92,8,1.43167,0.23
92_L,92,92_L,92,8,1.1989,0.448
96_L,96,96_L,96,7,1.22508,0.332
96_L,96,96_L,96,7,1.53049,0.296
96_L,96,96_L,96,8,1.41052,0.178
96_L,96,96_L,96,7,1.0155,0.398
96_L,96,96_L,96,6,0.86432,0.294
96_L,96,96_L,96,7,1.63658,0.244
1_R,1,1_R,1,8,1.56375,0.382
1_R,1,1_R,1,6,1.1952,0.174
1_R,1,1_R,1,6,1.72492,0.176
1_R,1,1_R,1,5,1.32867,0.118
1_R,1,1_R,1,5,1.59963,0.114
1_R,1,1_R,1,6,1.35149,0.176
103_R,103,103_R,103,8,1.20897,0.282
103_R,103,103_R,103,5,1.67816,0.066
103_R,103,103_R,103,4,1.05726,0.094
103_R,103,103_R,103,5,0.65824,0.004
